player_id,player_name,game_dt,epm,oepm,depm
203504,Trey Burke,2022-04-10,-1.4533,-1.04991,-0.403389
203506,Victor Oladipo,2022-04-10,0.154529,-0.887967,1.0425
203507,Giannis Antetokounmpo,2022-04-10,6.84786,5.10921,1.73864
203526,Raul Neto,2022-04-10,-1.39967,-0.596101,-0.803564
203552,Seth Curry,2022-04-10,1.31625,1.72658,-0.410334
203585,Rodney McGruder,2022-04-10,-1.54377,-1.29834,-0.24543
203648,Thanasis Antetokounmpo,2022-04-10,-2.44705,-2.47989,0.0328331
203897,Zach LaVine,2022-04-10,2.14485,3.17132,-1.02647
203901,Elfrid Payton,2022-04-10,-3.15379,-3.2028,0.0490177
203903,Jordan Clarkson,2022-04-10,1.62497,1.76869,-0.143724
203914,Gary Harris,2022-04-10,-1.42643,-1.34649,-0.0799353
203915,Spencer Dinwiddie,2022-04-10,0.360795,0.648227,-0.287432
203917,Nik Stauskas,2022-04-10,-3.61066,-2.67355,-0.93711
203918,Rodney Hood,2022-04-10,-3.64859,-2.84275,-0.805834
203920,Khem Birch,2022-04-10,-1.22546,-1.12764,-0.0978234
203924,Jerami Grant,2022-04-10,0.568895,0.398345,0.17055
203925,Joe Harris,2022-04-10,-0.681745,-0.191296,-0.490448
203926,Doug McDermott,2022-04-10,-1.81555,0.511066,-2.32661
203932,Aaron Gordon,2022-04-10,0.828746,0.892238,-0.0634923
203933,T.J. Warren,2022-04-10,-0.167836,-0.500065,0.332229
203935,Marcus Smart,2022-04-10,2.96122,1.27604,1.68517
203937,Kyle Anderson,2022-04-10,-1.07113,-2.12592,1.05479
203939,Dwight Powell,2022-04-10,1.75601,1.40639,0.349613
203944,Julius Randle,2022-04-10,0.711192,0.466015,0.245178
203952,Andrew Wiggins,2022-04-10,0.156436,-0.42203,0.578466
203954,Joel Embiid,2022-04-10,7.50069,4.85502,2.64567
203967,Dario Saric,2022-04-10,-0.129265,-0.524472,0.395207
203991,Clint Capela,2022-04-10,3.16972,1.12444,2.04529
203992,Bogdan Bogdanovic,2022-04-10,2.36125,2.257,0.104241
203994,Jusuf Nurkic,2022-04-10,1.36222,-0.485692,1.84792
203999,Nikola Jokic,2022-04-10,8.91089,6.61673,2.29417
204001,Kristaps Porzingis,2022-04-10,2.9652,2.75177,0.213431
204060,Joe Ingles,2022-04-10,0.359151,0.284637,0.0745147
204456,T.J. McConnell,2022-04-10,-0.377012,-0.661354,0.284342
2544,LeBron James,2022-04-10,4.36446,4.02178,0.342682
2546,Carmelo Anthony,2022-04-10,-2.04253,-0.336832,-1.7057
2617,Udonis Haslem,2022-04-10,-3.71563,-4.14387,0.428237
2730,Dwight Howard,2022-04-10,-0.485873,-0.617344,0.13147
2738,Andre Iguodala,2022-04-10,-0.727224,-2.01991,1.29269
2772,Trevor Ariza,2022-04-05,-1.37475,-1.7456,0.370842
