NBA ID,Player Name,Position,Age,DPM,Offensive DPM,Defensive DPM,Box Only O-DPM,Box Only D-DPM,On Off O-DPM,On Off D-DPM
1642852,Derik Queen,c_pos,21.3,-0.51,-0.92,0.41,-0.55,1.37,-1.8,-0.97
1641729,Brice Sensabaugh,sf_pos,22.6,-0.51,0.9,-1.41,1.64,-1.11,-0.04,-1.63
1630598,Aaron Wiggins,sg_pos,27.4,-0.53,-0.74,0.21,-1.15,-0.53,-0.48,0.49
203994,Jusuf Nurkic,c_pos,31.8,-0.55,-2.16,1.61,-1.91,3.12,-2.24,1.34
203924,Jerami Grant,sf_pos,32.2,-0.55,-0.39,-0.16,0.07,-0.45,-0.49,-0.13
1642854,Asa Newell,pf_pos,20.6,-0.56,-0.79,0.23,-0.75,0.33,-1.11,-0.35
1631110,Jeremy Sochan,pf_pos,23.0,-0.57,-0.81,0.24,0.06,0.33,-1.57,0.19
1642954,Will Richard,sg_pos,23.3,-0.58,-0.7,0.12,-0.53,0.22,-1.28,-0.07
1642366,Quinten Post,pf_pos,26.2,-0.58,-0.62,0.05,-0.57,-0.17,-0.75,0.36
203944,Julius Randle,pf_pos,31.5,-0.58,0.04,-0.62,-0.4,-1.48,0.12,-0.52
1642285,Cam Spencer,pg_pos,26.2,-0.58,0.37,-0.96,0.54,-1.14,-0.04,-0.69
1630245,Ayo Dosunmu,pg_pos,26.4,-0.59,0.15,-0.74,1.09,-0.61,-0.3,-0.78
1631207,Dalen Terry,sg_pos,23.9,-0.6,-1.51,0.91,-1.69,1.01,-1.17,0.79
1629004,Svi Mykhailiuk,sg_pos,29.0,-0.6,0.52,-1.12,0.79,-2.13,0.32,-0.68
1630696,Dru Smith,pg_pos,28.4,-0.61,-1.33,0.72,-1.01,1.01,-2.2,0.22
1630249,Vit Krejci,sg_pos,26.0,-0.61,-0.72,0.1,-0.7,-0.14,-0.74,0.28
1641713,GG Jackson,sf_pos,21.5,-0.62,0.27,-0.89,0.42,-1.01,0.02,-0.78
1629652,Luguentz Dort,sg_pos,27.1,-0.63,-1.28,0.65,-2.16,-0.1,-0.98,0.8
1629111,Jock Landale,c_pos,30.6,-0.67,-0.66,-0.01,-0.3,0.47,-1.05,-0.33
