rank,player,team,position,age,minutes,games,epm,prior_war,projected_war,fair_value,actual_salary,opening_price,tier
219,craig porter jr.,CLEVELAND CAVALIERS,PG,25.0,1147.5,63,-1.725,3.06,0.84,5391627,2406205,5093085,bench
220,t.j. mcconnell,INDIANA PACERS,PG,33.0,962.4,55,0.317,1.58,0.63,4346829,11000000,5012146,bench
221,ace bailey,UTAH JAZZ,SF,19.0,1987.6,72,-1.822,0.02,0.75,4946105,0,4946105,bench
222,bilal coulibaly,WASHINGTON WIZARDS,SG,21.0,1467.5,55,-1.484,0.67,0.61,4261064,9240012,4758959,bench
223,gg jackson,MEMPHIS GRIZZLIES,PF,21.0,1177.6,54,-1.057,1.19,0.75,4952540,2406205,4697906,bench
224,ryan dunn,PHOENIX SUNS,SF,23.0,1354.9,69,-1.774,2.0,0.73,4862060,2784240,4654278,bench
225,ziaire williams,BROOKLYN NETS,SF,24.0,1281.2,56,-0.994,1.02,0.63,4337927,0,4337927,bench
226,isaac okoro,CHICAGO BULLS,SG,25.0,1694.7,62,-1.498,0.27,0.42,3277042,11814814,4130819,bench
227,jordan poole,NEW ORLEANS PELICANS,PG,26.0,933.1,38,-1.4,0.45,-0.1,692137,34044642,4027388,bench
228,jamir watkins,WASHINGTON WIZARDS,SG,24.0,1032.1,50,-0.481,0.69,0.55,3967141,0,3967141,bench
229,kobe sanders,LOS ANGELES CLIPPERS,SG,23.0,1352.8,67,-1.091,0.56,0.54,3920702,0,3920702,bench
230,bobby portis,MILWAUKEE BUCKS,PF,30.0,1619.2,65,-0.83,0.17,0.33,2832132,13445754,3893494,bench
231,svi mykhailiuk,UTAH JAZZ,SF,28.0,1155.5,50,-0.063,0.52,0.54,3891306,0,3891306,bench
232,kentavious caldwell-pope,MEMPHIS GRIZZLIES,SG,32.0,1087.4,50,-0.539,0.76,0.14,1914185,21621500,3884917,bench
233,al horford,GOLDEN STATE WARRIORS,C,39.0,969.0,44,0.5,2.07,0.54,3875488,0,3875488,bench
234,khris middleton,DALLAS MAVERICKS,SF,34.0,1439.1,62,-1.721,0.99,-0.14,517681,34012345,3867147,bench
235,royce o'neale,PHOENIX SUNS,SF,32.0,2212.7,77,-1.784,0.48,0.35,2941593,10875000,3734933,bench
236,will richard,GOLDEN STATE WARRIORS,SG,23.0,1376.7,68,-1.963,1.49,0.5,3694864,0,3694864,bench
237,nae'qwan tomlin,CLEVELAND CAVALIERS,PF,25.0,1003.5,63,-0.801,1.16,0.5,3679984,0,3679984,bench
238,jordan miller,LOS ANGELES CLIPPERS,SF,26.0,1324.7,59,-1.428,1.41,0.49,3654317,2378864,3526772,bench
239,dennis schroder,CLEVELAND CAVALIERS,PG,32.0,1696.2,70,-1.55,1.63,0.45,3447760,0,3447760,bench
240,olivier-maxence prosper,MEMPHIS GRIZZLIES,PF,23.0,983.5,53,-0.563,0.22,0.38,3110302,5259383,3325210,bench
241,noah clowney,BROOKLYN NETS,PF,21.0,1780.0,65,-1.759,-0.39,0.37,3059821,5414034,3295243,bench
242,danny wolf,BROOKLYN NETS,PF,21.0,1187.0,56,-1.925,1.27,0.41,3269889,0,3269889,bench
243,josh green,CHARLOTTE HORNETS,SG,25.0,907.7,57,-1.161,0.8,0.15,1968634,14679012,3239671,bench
244,russell westbrook,SACRAMENTO KINGS,SF,37.0,1852.5,63,-1.494,1.94,0.41,3238214,0,3238214,bench
245,marvin bagley iii,DALLAS MAVERICKS,PF,26.0,1200.8,59,-1.647,1.68,0.4,3180638,0,3180638,bench
246,andre drummond,PHILADELPHIA 76ERS,C,32.0,1230.6,62,-1.052,1.74,0.35,2973801,5000000,3176421,bench
247,isaiah jackson,LOS ANGELES CLIPPERS,C,24.0,908.2,55,-1.224,1.4,0.38,3109025,0,3109025,bench
248,jared mccain,OKLAHOMA CITY THUNDER,SG,21.0,1159.5,66,-0.945,-0.13,0.35,2939672,4422600,3087965,bench
249,jarred vanderbilt,LOS ANGELES LAKERS,PF,26.0,1127.6,65,-1.591,1.07,0.17,2031928,12428571,3071592,bench
250,kelly oubre jr.,PHILADELPHIA 76ERS,SF,30.0,1574.2,49,-0.848,0.07,0.25,2461564,8382150,3053622,bench
251,klay thompson,DALLAS MAVERICKS,SF,35.0,1496.6,68,-0.515,0.01,0.04,1383905,17460317,2991546,bench
252,vit krejci,PORTLAND TRAIL BLAZERS,PG,25.0,1391.9,64,-1.668,0.96,0.35,2942805,2667944,2915319,bench
253,john konchar,UTAH JAZZ,SG,29.0,1114.5,55,-1.4,1.65,0.26,2499925,6165000,2866433,bench
254,adem bona,PHILADELPHIA 76ERS,C,22.0,1234.0,70,-2.033,1.19,0.32,2813112,2296271,2761427,bench
255,kris murray,PORTLAND TRAIL BLAZERS,SF,25.0,1333.0,57,-1.547,0.6,0.24,2381966,5315004,2675269,bench
256,sidy cissoko,PORTLAND TRAIL BLAZERS,SF,21.0,1434.8,74,-2.291,0.7,0.26,2476659,0,2476659,bench
257,maxime raynaud,SACRAMENTO KINGS,C,22.0,1963.8,73,-2.664,0.17,0.25,2470025,0,2470025,bench
258,kyle kuzma,MILWAUKEE BUCKS,PF,30.0,1805.6,67,-2.641,0.5,-0.19,228145,20945152,2299846,bench
259,anthony gill,WASHINGTON WIZARDS,PF,33.0,950.9,54,-4.245,-0.64,-2.05,-9057338,2546675,2000000,bench
260,ben saraf,BROOKLYN NETS,SG,19.0,916.3,44,-4.849,-0.61,-1.54,-6476106,0,2000000,bench
261,ben sheppard,INDIANA PACERS,SG,24.0,1390.3,64,-2.567,0.4,-0.16,377402,5031669,2000000,bench
262,bruce brown,DENVER NUGGETS,SG,29.0,1997.6,81,-3.313,0.32,-0.34,-514993,0,2000000,bench
263,bub carrington,WASHINGTON WIZARDS,PG,20.0,2270.4,81,-2.541,-4.14,-0.78,-2698368,4900560,2000000,bench
264,caleb love,PORTLAND TRAIL BLAZERS,SG,24.0,1012.5,48,-1.71,0.03,-0.2,198701,0,2000000,bench
265,caris levert,DETROIT PISTONS,SG,31.0,1154.3,59,-1.686,0.71,-0.25,-74737,0,2000000,bench
266,clint capela,HOUSTON ROCKETS,C,31.0,925.4,75,-0.914,1.25,0.08,1608711,0,2000000,bench
267,cody williams,UTAH JAZZ,SG,21.0,1630.5,66,-4.13,-0.52,-0.79,-2725028,6015600,2000000,bench
268,corey kispert,ATLANTA HAWKS,SF,26.0,1079.5,57,-2.206,0.98,-0.16,401790,13975000,2000000,bench
269,drake powell,BROOKLYN NETS,SG,20.0,1319.4,63,-4.261,-1.83,-1.45,-6043716,0,2000000,bench
270,gary trent jr.,MILWAUKEE BUCKS,SG,27.0,1377.2,63,-1.873,-0.96,-0.5,-1296310,0,2000000,bench
271,gradey dick,TORONTO RAPTORS,SG,22.0,1066.5,74,-1.737,-0.01,-0.07,837259,7131511,2000000,bench
